Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],Latest Year Available [YR20080],"Latest Year Available, period 1990-1995 [YR19950]","Latest Year Available, period 1996-2000 [YR20006]","Latest Year Available, period 2001-2008 [YR20081]"
001. Benin_SBEE,BEN_SBEE,Electricity billed per industrial/high voltage customer (kWh/customer),AFELE134,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
001. Benin_SBEE,BEN_SBEE,Electricity billed per residential/low voltage customer (kWh/customer),AFELE135,..,..,..,..,..,..,617.827709336722,617.032843431314,566.564729867482,565.393658066072,437.100475475915,415.137419612307,..,..,..,..,415.137419612307,..,..,415.137419612307
001. Benin_SBEE,BEN_SBEE,Electricity billed to commercial/medium voltage customers (GWh/year),AFELE137,..,..,..,..,..,..,123.02,131.66,138.95,150.06,124.38,126.91,..,..,..,..,126.91,..,..,126.91
001. Benin_SBEE,BEN_SBEE,Electricity billed to industrial/high voltage customers (GWh/year),AFELE138,..,..,..,..,..,..,..,..,5.94,6.03,5.64,6.87,..,..,..,..,6.87,..,..,6.87
001. Benin_SBEE,BEN_SBEE,Electricity billed to residential/low voltage customers (GWh/year),AFELE139,..,..,..,..,..,..,123.02,131.66,138.95,150.06,124.38,126.91,..,..,..,..,126.91,..,..,126.91
001. Benin_SBEE,BEN_SBEE,Electricity connections per employee (number),AFELE140,..,..,..,..,..,..,..,..,..,..,..,148,..,..,..,..,148,..,..,148
001. Benin_SBEE,BEN_SBEE,Electrification rate (% of popul. with electricity connection in utility service area),AFELE143,..,..,..,..,..,..,..,..,..,..,..,17.7507464580791,..,..,..,..,17.7507464580791,..,..,17.7507464580791
001. Benin_SBEE,BEN_SBEE,Hidden costs due to under-collection (% of GDP),AFELE168,..,..,..,..,..,..,..,..,..,..,..,0.0357373247296045,..,..,..,..,0,..,..,0
001. Benin_SBEE,BEN_SBEE,Hidden costs due to under-collection (% of revenue),AFELE169,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,0,..,..,0
001. Benin_SBEE,BEN_SBEE,Hidden costs due to under-collection (% of total hidden costs),AFELE170,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,0,..,..,0
001. Benin_SBEE,BEN_SBEE,Labor costs (% of operational costs),AFELE158,..,..,..,..,..,..,..,24.2357097274534,22.5354726542795,20.2222046325726,17.8289546087444,19.2298601973208,..,..,..,..,19.2298601973208,..,..,19.2298601973208
